,title,price,rating,reviews,link,req
0,"Мышь компьютерная игровая проводная Intro MG250 с подсветкой, с оптическим датчиком компактная 1000dpi, 3 кнопки",231,4.5,117,https://market.yandex.ru/product--mysh-kompiuternaia-igrovaia-provodnaia-intro-mg250-s-podsvetkoi-s-opticheskim-datchikom-kompaktnaia-1000dpi-3-knopki/904935087?sku=103684492816&shopId=431782&from=premiumOffers&from-show-uid=17472421784641833644606001&do-waremd5=Njm8CAr6jc_qMTUpvALZAg&sponsored=1&cpc=O0_tfuXLuB2C7MsZ2I_AJ53frpzyH8OAxv-9FUX4R3IMBkKAhw9oR964YntsjlGlgMp3LA2UmqOlxV2u18pswEAFgnyS31N3uymWeOJG4LQevA6Y-vu8GsXuuOixwZTLpFV45w-_QNwGnRxdBB9klEhfnH5UPohzsBc7URBFGGgIZo-kYzgie2B4gwCo5uMAMZImmAOxRuJmn8V30Bexkt8r_oUKgvbdA-70HoogMicYkWtKHzWL7rs-SW1kBmi3uq9GLWku8HIlAZNsB-efaEfD8CbU0O6L4i-6W3t5w0efvQauue-K_0RRq4TGKU5A_z9e0_B_h2sCO4kkENUgunGPQm0p61M6jG_t2PgZmzQVbdHJWbEOFI3lUvZsGZILfglhjxYSv1487dSbWXh6ABqY33lMbFfQjuVid12wAiv6vQLO1pxm3xylg-DrWQ3Xb_tFkJkCbRzuQjnwRf4mk7S7TdQJWagDPlmcirRvAlt6meWM9TchSc2Oy6ZqceYqsIW9WkkBmwXnJjvW0zURMg%2C%2C&cc=CiAwMTk2M2NhYmVkMzdiMDVjN2EzNmJlNjUzZTBhN2E2ZhDmAYB95u0G&uniqueId=62713721,Мышь
2,"Мышь беспроводная бесшумная игровая, с аккумулятором, цвет черный.",1195,4.8,426,https://market.yandex.ru/product--mysh-besprovodnaia-besshumnaia-igrovaia-s-akkumuliatorom-tsvet-chernyi/1113793119?sku=4333804242&shopId=431782&from=premiumOffers&from-show-uid=17472421784641833644606003&do-waremd5=_YNLXTRKYqOY8AyNZfjynw&sponsored=1&cpc=O0_tfuXLuB0nCxAQs_3TReqdZm1RVB41TakY20-lYRy_2yZAplwchgfAW7WKboVBwVB8EJc6GfDy8oWhnQ98rSHrV7vES3II8mzNk5dyPCT2OwBws2YGyzwzGvGWyixxP0_ghk5BKaOE9Z-hs7Z7wYhCYx63cpLitW8xc65t1WXYPWEiSerpV4aOChi377o9ZUAjiDRhuJx6PkCSTfxdq-QizBb_KnyHBFnZaB4luPu2MPt2klUnfel5Fnze-lAD3IsNsXVjUP4wYT0yWpnJaXW95pUUp-3HE_Qag73lrGF2doxTQjCR7G1RZ52hlce9Fp_Kd1IuyWDqfOPsTq_RBruJSeBP7AKhXrEPU8EkwtFkmnGK4Q_-hHf7wQEpHVsSOjucc-8ogwub36jggQPp-EYeMg89Iij--yUd_02UOa6VP4h0Vjsr3Bg7fIIOK97nu5qUPHTmgDx809qIuLqGtwyScJML3022oZGg9KNIVUKpOTAZNqQ979VmnbHE7h1D2BNgU9gnpH7uTI_11EGkBQ%2C%2C&cc=CiAwMTk2M2NhYmVkMzdiMDVjN2EzNmJlNjUzZTBhN2E2ZhDmAYB95u0G&uniqueId=107960586,Мышь
3,"Игровая мышь A4Tech Bloody V7, проводная USB, с подсветкой, 3200 cpi, черный",1713,4.8,732,https://market.yandex.ru/product--igrovaia-mysh-a4tech-bloody-v7-provodnaia-usb-s-podsvetkoi-3200-cpi-chernyi/1778094513?sku=8517467&shopId=431782&from=premiumOffers&from-show-uid=17472421784641833644606004&do-waremd5=JOPqJkGeY_5soOFCVylmrQ&sponsored=1&cpc=O0_tfuXLuB0hNLJ6gLm03bFGCbUr58jNclbRs62MN7-MB3rxAgUqfw8C9HskP7NjTlxZVRS_p9Ra6ZXYqzWg2UDlSwvCaTxi9_w_lWI0BJLYPBpOlAT4GaIpxEDf74D5Ssv84IQ7jx-Wpx3CKiSDXaVVCVo-DlB3yA8mx_65IvmaSWqt9wdr3jNj_st2iZbLgkrzKx1cnILRltdZP8IdtCn5ORrqhjcVS7Mcq7fHLLNdzlIgyXgFgPXVcvhHKAjueBRkz0IwhdIjOsBlW_c2WGWQtdlRT3mqVjcmmIBjlzzrprQlwjg8t8DXFW4DArz6TwvC78KXHxkxE-kvSUOqXENt07xNEEZ6a0VShpCKab1wTB-CLKTrL1tm4dDoSvHvPwUfsKBvHGwWuF1VeHfxpSkJ0AVPNg4DnO0TMN2xHmBFpBey9Djz_x1lvucEHtFaW90ucJSG0FsvbgQTGeQat2wxNZyHJ34KPs2d-Riw5VOXQeYkhliPYPN4YEhms2sAjImte76L5wsWYo8OJqHKXA%2C%2C&cc=CiAwMTk2M2NhYmVkMzdiMDVjN2EzNmJlNjUzZTBhN2E2ZhDmAYB95u0G&uniqueId=1233177,Мышь
4,"Игровая беспроводная / проводная мышь AJAZZ AJ159APEX с док-станцией, белый",5336,4.8,61,https://market.yandex.ru/product--igrovaia-besprovodnaia-provodnaia-mysh-ajazz-aj159apex-s-dok-stantsiei-belyi/997625173?sku=103765713087&shopId=431782&from=premiumOffers&from-show-uid=17472421784641833644606005&do-waremd5=VcwIpLzPSNLFKfBHYd70tw&sponsored=1&cpc=O0_tfuXLuB3FXktv8TWi_GpOuy-TKyo9UdB3p6z2YDl6B6kGuzqKQr4gu46HMdqD004JAR25ixSPLWvawD4oWQjMN-GAzRhw6zMYNskWRig-mxLwPB5AFSBb_bRxg82k0A6o6TSQGGQyDiz26FDE_T9pHt0YJqoUSS5qxTrvV5iHJBobXCmElVcoIG82SqYD4GTsguCW8uHBWnjaPiQ2ZZQddJoxsBCZ5wTuFwU0vaa3dMgSDpBvwKQVGYW8nplIAX2S-z6ZqFO-fs39EF1yPzEQxToddVX_dbn1DbFvAeYqrBMfJUnvE4TdzcRses3IMo3gum6HwgXY1_OvpEPpAjKVZhfQgaAPsRndREKlbsaKu9MAgeBhYNAyS73SBpnjZO77dA38lfSojiWkX3V7JfeUAhk4bHMbb4s7uMNElZsH57M3n5_bemPs1MfEzAVeQgAtvYOIrpjr4Oh4eVVdqP6Ucg8HayCOMw0vD3UGFdhpblYuGU790GV7oJY1OgpJTwwt007ySV27Y96DLzjlrw%2C%2C&cc=CiAwMTk2M2NhYmVkMzdiMDVjN2EzNmJlNjUzZTBhN2E2ZhDmAYB95u0G&uniqueId=164019620,Мышь
6,"Беспроводная мышь Attack Shark X3, мышь, Bluetooth, 2,4 G, проводная игровая мышь USB с тремя режимами работы, белый",3404,4.9,78,https://market.yandex.ru/product--besprovodnaia-mysh-attack-shark-x3-mysh-bluetooth-2-4-g-provodnaia-igrovaia-mysh-usb-s-tremia-rezhimami-raboty-belyi/934600976?sku=103713926410&shopId=431782&from=premiumOffers&from-show-uid=17472421784641833644606007&do-waremd5=niCuRkstgxPXUsNKLowwzw&sponsored=1&cpc=O0_tfuXLuB2YXma7bc-RNN4sFYf3VHn2KSQAQ0K2cPo3x1hQhVAXKWUmDri3U8yipPdBsgiCSr4erZeyWK-3wiXfjCstXYtclVyEHkaJRzwtUvQkZEwNL7keNhocjK3LR0h3KUEHlBhckc-xXGf8wrm626DwUXvUTSv9EBzRmOyN_bmz3o3UOmN2pvKVOgxt-HoW2b6wHnY0NAmcA1wqsQ_paiWFfuHMt-6e0UQZh1rgdScIK_M5bC81TiJCs9jQpEJg2GZkBlRYYU6pe9rUQvIEMaBVGKgU6iZJd0sxhNkar_9BIWLam82b4rkvFX-oATQ13TayWuc0GAvdqQU6-PFkzE8Wxs7bdO9e1CWJOkW9uRgkGJ6pTNBIrv2t-CDD_eY1EgDrekkHE6Q5FCT0f7v8ba7LNmWmL-GFxpOTxEw83in0u1rGigrQgQRlkigQzSVxyyduBjwUPBGSpX4074Tpa87_C9eN4xHLwStqK2_mqftQpTgAEwrab4jXrW67ECb6CL8d175h2P2W-lhz3g%2C%2C&cc=CiAwMTk2M2NhYmVkMzdiMDVjN2EzNmJlNjUzZTBhN2E2ZhDmAYB95u0G&uniqueId=164019620,Мышь
7,"Мышь беспроводная, аккумуляторная, для компьютера, ноутбука, телевизора, RGB подсветка, черная, зарядка Type-c",426,4.6,144,https://market.yandex.ru/product--mysh-besprovodnaia-akkumuliatornaia-dlia-kompiutera-noutbuka-televizora-rgb-podsvetka-chernaia-zariadka-type-c/868318432?sku=103645285450&shopId=431782&from=premiumOffers&from-show-uid=17472421784641833644606008&do-waremd5=gh5TumxBlUk5e6cFGRT2jg&sponsored=1&cpc=O0_tfuXLuB2NDloyisWDuZFLhlQKPMy2bxe2o-1Y8GzNkG5OK5B2ZBEHaqo4okHHE0aBjE_ytkjh_G_AIGWSklonTN7eHCzYbvuteqr8QSNbs28dLieblok5evaIIhxHbY8-Sz5hySEaNlSqGstE3-l5PhaEsCNtkyqbaSU1cbzzyZBgtZ7dBfOyzT8s1d3VjpWDInbd4V_xJ5llsF1UT8alNZN3B7eRMLvFm-xEQwj4MAchbg5blu7Un8KTFWBNQEov55V71TV_8om5spo75V7YHO7P-rNAs_6U6Kd8dC9PZVrWXTBlYySfyIuPXAsgfM4qwDkRg1PgBi4xyhj5l6dyGPbTc8fzZw-clH-E77eQ-Fw8spCgK21WhpXIZgElDa7rSTkzs-EgwbwL2W3ZOItSuvHty1edW6QqCz6JRRGSR1j6kIj38AJWuNqTExLamFPwEaBuag9zgYpJBjBnmJvGZ3pHUvcqDEkyZJifbcDGfS4Z-sR79l9MSqPkCxcHw8CwOXk3iehAY_LTjqvb7A%2C%2C&cc=CiAwMTk2M2NhYmVkMzdiMDVjN2EzNmJlNjUzZTBhN2E2ZhDmAYB95u0G&uniqueId=88212302,Мышь
8,Беспроводная мышка для компьютера со встроенным аккумулятором/ Бесшумная блютуз компьютерная мышь с подсветкой RGB/ Bluetooth/ WiFi 2.4 гц,346,4.7,14793,https://market.yandex.ru/product--besprovodnaia-myshka-dlia-kompiutera-so-vstroennym-akkumuliatorom-besshumnaia-bliutuz-kompiuternaia-mysh-s-podsvetkoi-rgb-bluetooth-wifi-2-4-gts/1102700165?sku=102071855464&shopId=431782&from=premiumOffers&from-show-uid=17472421784641833644606009&do-waremd5=Fp7w9JMTBOMJSFxu2A5ltw&sponsored=1&cpc=O0_tfuXLuB1ns-TZlusHgz0bQcBM-VuyohrfDlZz11JZeh4kH22XUyu8FbQoi5DgjIOSOCtNtac7BOZHLKbBStj0op4vGFh39gi6LsTwhEd4LI2KPj03OapZssHvOvoEK1NRb53XDnt2SpBj5uuwMHtZw9TkALtTISNcGVqSiLvfToEe-GW4yPlba1kS0Ad7n_zvUmqwz5R-2taOXI7eLzrpEd7MPvd_Gk7swzdb8zLQ9jbkZbUgJZWF_sxCj5mqz4aXzRy_Vk3owwsOb1yYm1WIyTVrXi4c2im3mqcADbT3M2QM2osDi57IMwvBd-1Mk1u1bKY5EjgeCeUUtbal3kVaUVcu_W729YlkHno9LagZPn--84JG522n4LIBhHk9Y6P6A3QiEXKbLMeCI_3xU8wszUT_mjb8Me1uo337N_BcAvI8tOjgrWwGP7uj3nS5K9l2gUFqOhDx9UVFEwdMGub5dwPyfEBWBEv9a7cOrJhhlFiYeqPLISL6_5bjtnnswSB_3b9hXBw%2C&cc=CiAwMTk2M2NhYmVkMzdiMDVjN2EzNmJlNjUzZTBhN2E2ZhDmAYB95u0G&uniqueId=37573581,Мышь
9,Беспроводная перезаряжаемая Bluetooth + Wireless мышь Booox.,296,4.8,204,https://market.yandex.ru/product--besprovodnaia-perezariazhaemaia-bluetooth-wireless-mysh-booox/1108246655?sku=4328393065&shopId=431782&from=premiumOffers&from-show-uid=17472421784641833644606010&do-waremd5=pRzjJU0qqgOgz7stljwZzQ&sponsored=1&cpc=O0_tfuXLuB1HjYsniLj_z946-30QaO_GTqpQAwy6_YD1ScghnNyfE0MiO96zZssQRbu4moOryF9w7wPqV6Alsmn4chcYpPlMAsS1D_jC-J9HvjCJtAfhIbuqHtEFdDspNv7WPlPx7JO7y2bsekGYevLih1bUDP3glQxC0vnNczwU1KSbh-B1pMlHDBO3812AdGEpTHlGeF_NUcmDjIZZ3LiPZO2uZM4_zYExODrJY7c9Z0pUtNpsEls_PXNPRVpDC2Xa1dM5fNnGPnsZ0HH6PnwCv1pd6vqK-ezJlnubBYSEOgoaua1GQIMh-3qFdUvQW5izUgVYC63w4kTZNrkJIYBquoCsekPJ6kn35dOUcimYTCFdZP1q1WTE-encTUrPIDrDiQOxC09ROTisLpQm0xpl6c_qLljlSm6FaFvSVr9rdNKLNriv6g7gByNIHS8vebOaFMqW3SRshoMfvEJ-nMtMbQ4bdftyWRakFbQdGrPSFcnAKqQJuyozuKUVb-4ha82peFPVouzpZi15XbzzVA%2C%2C&cc=CiAwMTk2M2NhYmVkMzdiMDVjN2EzNmJlNjUzZTBhN2E2ZhDmAYB95u0G&uniqueId=185773285,Мышь
10,"Беспроводная мышь SmartBuy, бесшумная, черная, DPI 1600",515,4.8,137,https://market.yandex.ru/product--besprovodnaia-mysh-smartbuy-besshumnaia-chernaia-dpi-1600/847141093?sku=101196455891&shopId=431782&from=premiumOffers&from-show-uid=17472421784641833644606011&do-waremd5=jR2tesQh_4eAdonpMlVtsQ&sponsored=1&cpc=O0_tfuXLuB05Ciii77Ka9iEUQfvS149B9DklbnYi2WXFc2SgH0c2dLow-mOCH3tJ2_G6E2D6GGMfbGp5omiMy7VazSLJPn256YTVM_P9zPWkfySJydanFcT1DeV01JJSNwbXwdYZH-f8y0rUa-JSCFuQRepvBScrS2MaGV4syU5OVFYOVC3waRYc3Muasq7Ad0JK2uDYaSDDS55p_WiPu_bNHMwvRPgKIZQgU7f9A202mwKAdNYj_BOSHEcA37zZYdMk6uMUaXSCSgX7PyRY6FHuacrCl_ptBYmN7Bi1JD_FQ_j4MAoWVIu71zN4jqVZJw8_OYLT4vWne8dg597ivJhR5-WABWDM5oMTE511rz05dpi7wI7ofdBWbHXUGkBi2njTUjMJNSvhRem73cgkSlbN_nyLga05_OKSP4_CP54m5r26iNRw2_DnmEqfWY8R0zG-wwLWwkL9YrjkN807NKVI7Sj-IqsoWyI6478pwu4NQHlghJEOiuaoec-4dKejpq45wMsnynS8XWwKvJGjsQ%2C%2C&cc=CiAwMTk2M2NhYmVkMzdiMDVjN2EzNmJlNjUzZTBhN2E2ZhDmAYB95u0G&uniqueId=119484097,Мышь
11,"Мышь компьютерная игровая проводная Intro MG250 с подсветкой, с оптическим датчиком компактная 1000dpi, 3 кнопки",231,4.5,117,https://market.yandex.ru/product--mysh-kompiuternaia-igrovaia-provodnaia-intro-mg250-s-podsvetkoi-s-opticheskim-datchikom-kompaktnaia-1000dpi-3-knopki/904935087?hid=90401&sku=103684492816&show-uid=17472421784845139749706001&from=search&cpa=1&do-waremd5=Njm8CAr6jc_qMTUpvALZAg&sponsored=1&cpc=O0_tfuXLuB2C7MsZ2I_AJ53frpzyH8OAxv-9FUX4R3KaPoDsX0QnQtvRdQ9Hksa1_l_7QXwEwflXPNKpfZNXVCdT5DXWXFzb40vVybgNGiugS4MeVZi9Yhy9p0w1VZPvOHLe6ujX7XIMgg8MCGU4EKult0lGsD4mfnO7DNmN-X2kC1bRcqTETThzMp5mibjhzJbN838QyQsY0nOiUt4_7isZljfA9a_WNDNUktEWnHdkVCcgHzkyDZejtuW38-CtTTn5xxdDG2N_bMQkMRyXZO1OQkcewU5Fn1GCc-2i8CZzmeNgdJcoidsnvpjT9lpOyCw-Kymux1EqQLp-ARy4t-PXHjryJtgyIzXTAoX-JLL7x99XN2SvekjM4wHSjZPAbF4aULsKL9QTJ3lJcymQiskVrWffzgRKFkFOuHpqmtN42RZr9RytxQrGw5TE5JQqKf1P_0Ceyf-Lg7kIbkn-nu8MUzMHyQAv-Kwqd5Nn7LOKCZsX5tDdCqxPktTQaaeDqmbj6BMW6U2rMlZI0QSGlCNmQLc3bItJ9wBDoF2fbQA%2C&cc=CiAwMTk2M2NhYmVkMzdiMDVjN2EzNmJlNjUzZTBhN2E2ZhDnAYB95u0G&uniqueId=62713721,Мышь
